FID,huc12num,Area,S_N,GAUGE_NAME,SITE_ID,LATITUDE,LONGITUDE,GageH,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
1,102400080401,47.6151,1093,DAWSON 4ESE,25-2225,40.1164,-95.7567,1000,30.65494769,33.85974697,49.98745096,68.71966023,89.84733442,114.1046934,195.444182
2,102400110301,40.7121,581,ATCHISON,14-0405,39.5756,-95.1108,945,29.26396914,37.5986113,46.87599177,61.43825562,76.14546858,110.5921051,184.5960395
3,102400110604,22.2456,674,BETHEL 1 NW,14-0782,39.15,-94.7833,869,34.33699062,45.24132263,49.16234871,61.03781458,91.92390809,138.7547086,210.3659882
4,102500020402,23.9538,473,AKRON 1 N,05-0114,40.1717,-103.2317,4662,30.2511916,58.84002492,39.84571629,47.49928206,72.69569926,96.62099599,112.1534566
5,102500020403,48.048,474,AKRON 4 E,05-0109,40.155,-103.1417,4540,22.2780892,30.08842554,34.53370045,45.96358858,72.59149501,97.37976793,122.4840924
6,102500030102,41.6715,567,ARRIBA,05-0348,39.2833,-103.2667,5241,25.07209726,34.28674516,38.68556765,42.79039302,56.05555481,66.87169112,73.16892547
7,102500030904,58.851,805,BURLINGTON 12 NNE,05-1126,39.4833,-102.1667,4232,29.75807506,35.35825599,46.81883192,57.7411345,81.42739367,104.2643293,152.9817829
8,102500031002,27.1986,732,BONNY DAM 2NE,05-0834,39.6569,-102.1183,3717,33.26965068,39.30699288,47.8144962,57.28935329,80.1777444,94.84884942,155.6172489
9,102500040201,46.4646,658,BENKELMAN,25-0760,40.0533,-101.5417,3025,31.57620203,49.63537665,50.85631454,65.17544557,113.4722976,141.59546,205.3599323
10,102500040503,38.4735,1071,CULBERTSON,25-2065,40.2331,-100.83,2614,28.80672408,37.2499026,44.7721746,57.82107371,89.47912147,124.6356209,198.1925919
11,102500090301,42.5334,839,CAMBRIDGE,25-1415,40.2847,-100.1433,2239,25.99798036,34.15061045,39.90337139,48.59491836,61.96845832,102.3572141,166.3650421
12,102500090901,39.3588,585,ATLANTA 2 WNW,25-0427,40.3794,-99.4992,2350,27.83064684,32.66574868,44.81831356,54.14002172,81.21786377,120.6177787,234.3906917
13,102500091002,83.6862,498,ALMA,25-0145,40.1,-99.3667,2001,27.76247699,35.95659367,41.22737223,54.25178395,84.15298473,146.345219,247.5202678
14,102500100204,37.8651,758,BREWSTER 4W,14-1029,39.3686,-101.4467,3437,28.62939909,44.07160347,44.53817641,59.05498669,93.97714873,111.8584638,139.9889092
15,102500100403,52.2561,592,ATWOOD 8SSE,14-0441,39.6978,-100.9708,2980,30.1039664,36.34389306,47.24020637,58.66900662,69.83272617,96.62465962,137.5631927
16,102500120102,50.4465,804,BURLINGTON,05-1121,39.3061,-102.2631,4230,23.93953168,30.18306365,41.45692216,57.8280229,78.96621182,104.5499824,148.2088802
17,102500120307,54.0501,591,ATWOOD,14-0439,39.8086,-101.0778,2857,27.87952049,29.8810694,47.43024262,60.0307186,81.95462826,88.45667782,121.9725915
18,102500130201,46.3008,691,BIRD CITY 10S,14-0836,39.6197,-101.5442,3400,27.62528321,32.80420032,48.49395006,63.9826742,92.58119918,108.9846998,147.6270926
19,102500130209,31.9566,706,BLAKEMAN,14-0883,39.8167,-101.1333,2894,27.17848126,41.90183777,48.20458364,64.93002862,91.35337041,97.52727562,142.1586967
20,102500140305,57.2676,638,BEAVER CITY,25-0640,40.1306,-99.8278,2160,27.97183727,44.21170064,38.09245454,47.4640838,76.55430612,119.0455624,220.2792167
21,102500150101,59.6427,988,COLBY 1SW,14-1699,39.3925,-101.0689,3170,33.62698041,39.42294374,54.18297718,63.60271311,81.87512483,94.71365358,124.9491222
22,102500150102,56.4369,987,COLBY,14-1696,39.4,-101.05,3143,33.62698041,39.42294374,54.18297718,63.60271311,81.87512483,94.71365358,124.9491222
23,102500160701,52.3146,647,BELLAIRE 8 N,14-0673,39.9167,-98.7,1980,32.50212648,42.56422601,46.22185559,59.72895877,77.93058284,95.31260837,153.0977657
24,102500160704,52.182,811,BURR OAK 1N,14-1179,39.8775,-98.3036,1680,30.50764393,38.27303741,46.65207314,55.56088349,66.17740143,77.85073015,91.76255013
25,102500170304,27.8733,1020,CONCORDIA BLOSSER MUNI,14-1767,39.5514,-97.6508,1469,31.82367096,45.35207055,43.90865735,52.41695499,63.47908882,77.7361646,101.9328976
26,102500170307,38.8791,651,BELLEVILLE,14-0682,39.8186,-97.6378,1535,32.88410304,51.72714614,46.29307287,56.92574869,81.15795869,103.8699519,121.5668376
